taille1,taille2,tempsMoyen,TailleMem
13,9,0.000000,582
16,19,0.000040,1395
3,14,0.000000,257
11,16,0.000000,843
12,17,0.000000,965
2,14,0.000000,196
4,15,0.000000,339
11,8,0.000000,451
9,2,0.000000,131
17,10,0.000000,819
1,2,0.000000,27
3,1,0.000000,36
2,14,0.000000,196
1,3,0.000000,36
3,13,0.000000,240
14,18,0.000010,1172
3,4,0.000000,87
13,18,0.000000,1095
11,16,0.000000,843
19,0,0.000000,99
6,14,0.000000,440
7,4,0.000000,171
9,5,0.000000,254
10,8,0.000000,414
3,2,0.000000,53
17,8,0.000000,673
5,2,0.000000,79
11,7,0.000000,402
8,10,0.000000,414
4,13,0.000000,297
9,16,0.000000,705
19,17,0.000000,1476
1,6,0.000000,63
19,9,0.000000,828
14,14,0.000000,928
15,14,0.000000,989
9,15,0.000000,664
2,4,0.000000,66
6,14,0.000000,440
3,2,0.000000,53
12,13,0.000000,753
3,5,0.000000,104
19,14,0.000000,1233
11,8,0.000000,451
9,3,0.000000,172
14,10,0.000000,684
5,19,0.000000,504
12,7,0.000000,435
9,4,0.000000,213
1,5,0.000000,54
17,15,0.000000,1184
11,10,0.000000,549
18,4,0.000000,402
10,18,0.000000,864
15,10,0.000000,729
6,5,0.000000,179
0,10,0.000000,54
19,12,0.000000,1071
8,19,0.000000,747
19,13,0.000000,1152
5,12,0.000020,329
13,15,0.000000,924
11,4,0.000000,255
4,2,0.000000,66
10,15,0.000000,729
4,11,0.000000,255
12,15,0.000000,859
12,7,0.000000,435
14,18,0.000000,1172
5,19,0.000000,504
10,1,0.000000,99
3,0,0.000000,19
13,3,0.000000,240
16,5,0.000000,429
5,8,0.000000,229
1,15,0.000000,144
4,13,0.000000,297
1,10,0.000000,99
4,7,0.000000,171
17,4,0.000000,381
4,13,0.000000,297
15,11,0.000000,794
18,3,0.000000,325
6,3,0.000000,121
6,3,0.000000,121
14,4,0.000000,318
3,17,0.000000,308
4,14,0.000000,318
9,12,0.000000,541
7,5,0.000000,204
13,8,0.000000,525
16,4,0.000000,360
10,6,0.000000,324
8,3,0.000000,155
0,2,0.000000,14
7,6,0.000000,237
4,11,0.000000,255
6,11,0.000000,353
15,10,0.000000,729
10,19,0.000000,909
